"","entity","continent"
"1","Afghanistan","Asia"
"2","Algeria","Africa"
"3","Azerbaijan","Asia"
"4","Bahamas","North America"
"5","Bahrain","Asia"
"6","Bangladesh","Asia"
"7","Benin","Africa"
"8","Bhutan","Asia"
"9","Bolivia","South America"
"10","Brunei","Asia"
"11","Central African Republic","Africa"
"12","Chad","Africa"
"13","Comoros","Africa"
"14","Costa Rica","North America"
"15","Cote d'Ivoire","Africa"
"16","Democratic Republic of Congo","Africa"
"17","Djibouti","Africa"
"18","Ecuador","South America"
"19","Egypt","Africa"
"20","El Salvador","North America"
"21","Ethiopia","Africa"
"22","Fiji","Oceania"
"23","Gambia","Africa"
"24","Ghana","Africa"
"25","Guatemala","North America"
"26","Guinea","Africa"
"27","Haiti","North America"
"28","Honduras","North America"
"29","Indonesia","Asia"
"30","Iran","Asia"
"31","Iraq","Asia"
"32","Israel","Asia"
"33","Jamaica","North America"
"34","Jordan","Asia"
"35","Kazakhstan","Asia"
"36","Kenya","Africa"
"37","Kiribati","Oceania"
"38","Kuwait","Asia"
"39","Lebanon","Asia"
"40","Lesotho","Africa"
"41","Libya","Africa"
"42","Madagascar","Africa"
"43","Malawi","Africa"
"44","Malaysia","Asia"
"45","Maldives","Asia"
"46","Mali","Africa"
"47","Mauritania","Africa"
"48","Mauritius","Africa"
"49","Mexico","North America"
"50","Micronesia (country)","Oceania"
"51","Morocco","Africa"
"52","Mozambique","Africa"
"53","Myanmar","Asia"
"54","Nauru","Oceania"
"55","Nepal","Asia"
"56","Niger","Africa"
"57","Oman","Asia"
"58","Pakistan","Asia"
"59","Papua New Guinea","Oceania"
"60","Qatar","Asia"
"61","Samoa","Oceania"
"62","Saudi Arabia","Asia"
"63","Senegal","Africa"
"64","Singapore","Asia"
"65","Solomon Islands","Oceania"
"66","Somalia","Africa"
"67","Sri Lanka","Asia"
"68","Sudan","Africa"
"69","Tajikistan","Asia"
"70","Timor","Asia"
"71","Togo","Africa"
"72","Tonga","Oceania"
"73","Tunisia","Africa"
"74","Turkey","Asia"
"75","Tuvalu","Oceania"
"76","United Arab Emirates","Asia"
"77","Uzbekistan","Asia"
"78","Vanuatu","Oceania"
"79","Zimbabwe","Africa"
