"","entity","continent"
"1","Albania","Europe"
"2","Angola","Africa"
"3","Antigua and Barbuda","North America"
"4","Argentina","South America"
"5","Armenia","Asia"
"6","Barbados","North America"
"7","Belize","North America"
"8","Bosnia and Herzegovina","Europe"
"9","Botswana","Africa"
"10","Brazil","South America"
"11","Burundi","Africa"
"12","Cambodia","Asia"
"13","Cameroon","Africa"
"14","Canada","North America"
"15","Cape Verde","Africa"
"16","Chile","South America"
"17","China","Asia"
"18","Colombia","South America"
"19","Congo","Africa"
"20","Croatia","Europe"
"21","Dominican Republic","North America"
"22","Equatorial Guinea","Africa"
"23","Eswatini","Africa"
"24","Gabon","Africa"
"25","Georgia","Asia"
"26","Grenada","North America"
"27","Guinea-Bissau","Africa"
"28","Guyana","South America"
"29","Iceland","Europe"
"30","India","Asia"
"31","Italy","Europe"
"32","Japan","Asia"
"33","Kyrgyzstan","Asia"
"34","Liberia","Africa"
"35","Malta","Europe"
"36","Namibia","Africa"
"37","Netherlands","Europe"
"38","Nicaragua","North America"
"39","North Macedonia","Europe"
"40","Norway","Europe"
"41","Panama","North America"
"42","Paraguay","South America"
"43","Peru","South America"
"44","Philippines","Asia"
"45","Rwanda","Africa"
"46","Saint Kitts and Nevis","North America"
"47","Saint Lucia","North America"
"48","Saint Vincent and the Grenadines","North America"
"49","Sao Tome and Principe","Africa"
"50","Serbia","Europe"
"51","Sierra Leone","Africa"
"52","South Africa","Africa"
"53","Suriname","South America"
"54","Sweden","Europe"
"55","Thailand","Asia"
"56","Trinidad and Tobago","North America"
"57","Turkmenistan","Asia"
"58","United States","North America"
"59","Uruguay","South America"
"60","Vietnam","Asia"
"61","Zambia","Africa"
