"","entity","continent"
"1","Australia","Oceania"
"2","Belgium","Europe"
"3","Burkina Faso","Africa"
"4","Cyprus","Europe"
"5","Denmark","Europe"
"6","Dominica","North America"
"7","Finland","Europe"
"8","Greece","Europe"
"9","Hungary","Europe"
"10","Laos","Asia"
"11","Moldova","Europe"
"12","Mongolia","Asia"
"13","Montenegro","Europe"
"14","New Zealand","Oceania"
"15","Nigeria","Africa"
"16","Poland","Europe"
"17","Portugal","Europe"
"18","Romania","Europe"
"19","Slovakia","Europe"
"20","South Korea","Asia"
"21","Spain","Europe"
"22","Switzerland","Europe"
"23","Tanzania","Africa"
"24","Ukraine","Europe"
"25","United Kingdom","Europe"
